Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Za≥oøyciela;Nazwa Organizatora I/ Za≥oøyciela;Nazwa Organizatora II/ Za≥oøyciela;Nazwa Organizatora III/ Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum;Data wykreúlenia z rejestru;zakoÒczenie procesu organizacji
843;Muzeum Ratownictwa w Krakowie ;30-363;KrakÛw;KrakÛw (KrakÛw-PodgÛrze);m. KrakÛw;MA£OPOLSKIE;ul.;Rzemieúlnicza;10;;;;;;;;Stowarzyszenie Ochotnicza Straø Poøarna ,,Muzeum Ratownictwaî w Krakowie ;;;;;Utworzone przez osoby prawne;;
844;Muzeum Regionalne im. Seweryna Udzieli w Starym Sπczu;33-340;Stary Sπcz;Stary Sπcz;nowosπdecki;MA£OPOLSKIE;ul.;Rynek;6;;;;;;;;Towarzystwo Mi≥oúnikÛw Starego Sπcza ;;;;;Utworzone przez osoby prawne;;
845;Muzeum Regionalne PTTK im. Antoniego Minkiewicza w Olkuszu;32-300;Olkusz;Olkusz;olkuski;MA£OPOLSKIE;ul.;Rynek;20;;;;;;;;Polskie Towarzystwo Turystyczno-Krajoznawcze im. Aleksandra Janowskiego Oddzia≥ w Olkuszu ;;;;;Utworzone przez osoby prawne;;
846;Muzeum Regionalne PTTK im. Ignacego £ukasiewicza w Gorlicach;38-300;Gorlice;Gorlice;gorlicki;MA£OPOLSKIE;ul.;;;;;;;;;;Gorlicki Oddzia≥ Polskiego Towarzystwa Turystyczno-Krajoznawczego;;;;;Utworzone przez osoby prawne;;
847;Muzeum Regionalne PTTK im. Izabeli Ks. Czartoryskiej w Pu≥awach ;24-100;Pu≥awy;GÛra Pu≥awska;pu≥awski;LUBELSKIE;ul.;Czartoryskich;6a;;;;;;;;Oddzia≥ Polskiego Towarzystwa Turystyczno ñ Krajoznawczego w Pu≥awach ;;;;;Utworzone przez osoby prawne;21.09.2021 sprawa nr DDK-WM.603.59.2021;
848;Muzeum Regionalne PTTK im. W≥adys≥awa Kowalskiego w Dobczycach;32-410;Dobczyce;Dobczyce;myúlenicki;MA£OPOLSKIE;ul.;PodgÛrska;1;;;;;;;;Oddzia≥ Polskiego Towarzystwa Turystyczno ñ Krajoznawczego w†Dobczycach ;;;;;Utworzone przez osoby prawne;;
849;Muzeum Regionalne PTTK w KoÒskich;26-200;KoÒskie;NieúwiÒ;konecki;åWI TOKRZYSKIE;ul.;PartyzantÛw;1;;;;;;;;Zarzπd Oddzia≥u Polskiego Towarzystwa Turystyczno - Krajoznawczego w KoÒskich;;;;;Utworzone przez osoby prawne;;
850;Muzeum Regionalne w Brzesku (w organizacji);32-800;Brzesko;Brzesko;brzeski;MA£OPOLSKIE;ul.;Koúciuszki;2;;;;;;;;wewnÍtrzna jednostka organizacyjna Miejskiego Oúrodka Kultury w Brzesku ;;;;;Utworzone przez osoby prawne;;
851;Muzeum Regionalne w Dobrodzieniu ;46-380;DobrodzieÒ;DobrodzieÒ;Olesno;OPOLSKIE;Plac;Wolnoúci;24;;;;;;;;wewnÍtrzna jednostka organizacyjna DobrodzieÒskiego Oúrodka Kultury i Sportu z siedzibπ w Dobrodzieniu, dla ktÛrego Organizatorem jest Gmina DobrodzieÒ;;;;;Utworzone przez osoby prawne;;
852;Muzeum Regionalne w Gocza≥kowicach-Zdroju (w organizacji);43-230;Gocza≥kowice-ZdrÛj;Gocza≥kowice-ZdrÛj;pszczyÒski;åL•SKIE;ul.;G≥Ûwna;46A;;;;;;;;Stowarzyszenie PrzyjaciÛ≥ Gocza≥kowic-Zdroju;;;;;Utworzone przez osoby prawne;;
